101cR|L-12-25-35-SN|PI32|4036|
101cR|L-12-25-30-SN|PI33|4344|
101cR|L-12-25-20-SN|PI1441|4549|
101cR|L-12-25-15-SN|PI34|4762|
101cR|T-12-375-SN-2|PI1419|5278|
101cR|T-12-375-SN-5|PI35|5600|
101cR|L-12-25-10-SN|PI36|5738|
101cR|L-12-25-5-SN|PI37|6128|
101cR|T-7-48-PO-5|PI38|6372|
101cR|T-7-48-PO-10|PI39|6581|
101cR|T-7-48-PO-15|PI40|6791|
101cR|T-7-48-PO-20|PI41|7130|
101cR|T-7-48-PO-25|PI42|7357|
101cR|T-7-48-PO-30|PI43|7610|
101cR|T-7-48-PO-35|PI44|7898|
101cR|T-7-52-SN-25|PI45|8433|
101cR|E-7-52-SN-30|PI46|8905|
