stop_code;stop_name;stop_lat;stop_lon
PE33;PE33 - Av. Departamental / Calle A;-33.51041931;-70.586387
PD1444;PD1444 - Nueva 1 / Av. Departamental;-33.50992351;-70.59100013
PD1;PD1 - Fabriciano González / Av. Departamental;-33.5095282;-70.594016
PD2;PD2 - R. Toro Ibáñez / Av. Departamental;-33.509235;-70.59800666
PD1161;PD1161 - E. Fernández / Av. Departamental;-33.50881706;-70.60397
PD4;PD4 - Estadio Monumental;-33.50858028;-70.60654504
PD5;PD5 - Parada 3 / (M) Pedrero;-33.50822593;-70.612112
PH45;PH45 - San Juan / Av. Departamental;-33.50797774;-70.61620914
PH23;PH23 - Persa Departamental;-33.50781183;-70.618828
PH24;PH24 - Vecinal / Av. Departamental;-33.50756977;-70.622821
PH1455;PH1455 - Av. Las Industrias / Av. Departamental;-33.50740471;-70.62538704
PH26;PH26 - Pintor Murillo / Av. Departamental;-33.5071247;-70.6294504
PH27;PH27 - Juan Griego / Av. Departamental;-33.50696461;-70.632736
PH28;PH28 - Infocap;-33.50699358;-70.635116
PH29;PH29 - Parada 2 / Departamental - Santa Rosa;-33.50698353;-70.637861
PH30;PH30 - Porto Alegre / Av. Departamental;-33.50637436;-70.64163761
PH31;PH31 - Montreal / Av. Departamental;-33.50580743;-70.644494
PH32;PH32 - San Francisco / Av. Departamental;-33.50479635;-70.648959
PH33;PH33 - Chiloé / Av. Departamental;-33.5041694;-70.65161233
PH34;PH34 - Parada 1 / (M) Departamental;-33.50360527;-70.654041
PH35;PH35 - San Jerónimo / Av. Departamental;-33.50265022;-70.65746
PH36;PH36 - Gauss / Av. Departamental;-33.50201018;-70.659867
PH37;PH37 - Monja Alférez / Av. Departamental;-33.50109312;-70.6633
PH38;PH38 - Delta / Av. Departamental;-33.50004806;-70.666925
PH1453;PH1453 - Alcibiades / Av. Departamental;-33.49918303;-70.66939
PH39;PH39 - Club Hípico / Av. Departamental;-33.49767099;-70.671579
PH40;PH40 - F. Mendelssohn / Av. Departamental;-33.49611095;-70.673584
PH41;PH41 - Clotario Blest / Av. Departamental;-33.49408591;-70.6762
PH42;PH42 - Ranquil / Av. Departamental;-33.49191186;-70.679043
PH43;PH43 - Haití / Av. Departamental;-33.48845878;-70.683469
PH44;PH44 - Av. Cerrillos / Av. Departamental;-33.48584572;-70.686803
PI58;PI58 - Parada 6 / Departamental - Pac;-33.48348558;-70.69497
PI59;PI59 - Parada 5 / Departamental - Pac;-33.48286956;-70.696345
PI60;PI60 - Tucapel / Suiza;-33.48195719;-70.69790858
PI61;PI61 - Mailef / Av. Las Rejas;-33.47630658;-70.70291336
PI62;PI62 - Quenac / Av. Las Rejas;-33.47260604;-70.70402318
PI63;PI63 - Quitralco / Av. Las Rejas;-33.46802141;-70.704715
PI64;PI64 - Parada 2 / 5 De Abril - Las Rejas;-33.46503441;-70.705011
PC1;PC1 - Parada 3 / (M) Manuel Montt;-33.42948253;-70.61936692
PC2;PC2 - Parada 7 / (M) Pedro De Valdivia;-33.42690888;-70.615902
PC3;PC3 - Parada 9 / (M) Pedro De Valdivia;-33.42533194;-70.611809
PC4;PC4 - Carlos Antúnez / Av. Pedro De Valdivia;-33.42855296;-70.610605
PC5;PC5 - Parada 1 / Muni. Providencia;-33.43123397;-70.609635
PC6;PC6 - Biarritz / Av. Pedro De Valdivia;-33.43379699;-70.608863
PC7;PC7 - Av. Pocuro / Av. Pedro De Valdivia;-33.43602869;-70.60820496
PC8;PC8 - Parada 3 / Plaza Pedro De Valdivia;-33.43809601;-70.607589
PC9;PC9 - Bustos / Av. Pedro De Valdivia;-33.44018101;-70.607151
PC10;PC10 - The Kent School;-33.44247811;-70.6067317
PC11;PC11 - Pedro L. Ferrer / Av. Pedro De Valdivia;-33.44517602;-70.606302
PD6;PD6 - Av. Sucre / Av. Pedro De Valdivia;-33.44839303;-70.605749
PD7;PD7 - Simón Bolívar / Av. Pedro De Valdivia;-33.45018803;-70.60543
PD8;PD8 - Av. Irarrázaval / Av. Pedro De Valdivia;-33.45354598;-70.60494125
PD9;PD9 - Castillo Velasco / Av. Pedro De Valdivia;-33.45807103;-70.60564
PD10;PD10 - Parada 5 / Estadio Nacional;-33.46200603;-70.606269
PD11;PD11 - Liceo Diego Portales;-33.46459202;-70.606647
PD12;PD12 - Liceo Pedro De Valdivia;-33.46841901;-70.606702
PD13;PD13 - Velódromo;-33.46985501;-70.606622
PD14;PD14 - Rodrigo De Araya / Av. Pedro De Valdivia;-33.47384129;-70.60639613
PD15;PD15 - Los Espinos / Av. Pedro De Valdivia;-33.47665603;-70.606232
PD16;PD16 - Los Olmos / Av. Pedro De Valdivia;-33.47897603;-70.605985
PD17;PD17 - Los Plátanos / Av. Pedro De Valdivia;-33.48166335;-70.6060867
PD18;PD18 - Av. Quilín / Av. Pedro De Valdivia;-33.48467865;-70.60620855
PD19;PD19 - Coipué / Av. Pedro De Valdivia;-33.48865702;-70.60632
PD20;PD20 - Vía Láctea / Av. Escuela Agrícola;-33.49055404;-70.604938
PD21;PD21 - E. Fernández / Av. Escuela Agrícola;-33.49032609;-70.602029
PD22;PD22 - Pje. Los Cometas / Exequiel Fernández;-33.49307308;-70.601957
PD23;PD23 - Carlos Casanueva / Exequiel Fernández;-33.49527708;-70.602038
PD24;PD24 - Av. La Aguada / Exequiel Fernández;-33.4986292;-70.60240673
PD25;PD25 - Froilán Roa / Av. La Aguada;-33.50135357;-70.60060164
PD26;PD26 - Benito Rebolledo / Froilán Roa;-33.5021641;-70.600732
PD27;PD27 - Las Codornices / Froilán Roa;-33.504263;-70.60114321
PD28;PD28 - Las Loicas / Froilán Roa;-33.50650646;-70.60159088
PD29;PD29 - Av. Departamental / Froilán Roa;-33.50859309;-70.601992
PH46;PH46 - Entre Lagos / Av. Haydn;-33.5097978;-70.620744
PH47;PH47 - Lago Rupanco / Av. Haydn;-33.51257881;-70.620194
PH48;PH48 - Vecinal / Av. Lo Ovalle;-33.51441775;-70.620491
PH49;PH49 - Av. Las Industrias / Av. Lo Ovalle;-33.51612157;-70.62393568
PH1443;PH1443 - Varas Mena / Av. Las Industrias;-33.51190386;-70.62483872
PH1442;PH1442 - Parada 5 / Departamental - Las Industrias;-33.50822773;-70.625665
PH672;PH672 - Turquino / Av. Departamental;-33.50815988;-70.61589
PD30;PD30 - Claudio Arrau / Exequiel Fernández;-33.50804705;-70.604031
PD31;PD31 - Calle Nueva / Exequiel Fernández;-33.50372088;-70.60322194
PD32;PD32 - Benito Rebolledo / Exequiel Fernández;-33.50235107;-70.602954
PD33;PD33 - La Aguada / Exequiel Fernández;-33.49995908;-70.602541
PD34;PD34 - Carlos Casanueva / Exequiel Fernández;-33.49612608;-70.601881
PD35;PD35 - Víctor D. Silva / Exequiel Fernández;-33.49328208;-70.60181
PD36;PD36 - Escuela Agrícola / Exequiel Fernández;-33.49089907;-70.60166705
PD37;PD37 - Los 3 Antonios / Av. Escuela Agrícola;-33.49034905;-70.60407
PD38;PD38 - Coipué / Av. Pedro De Valdivia;-33.48915102;-70.606203
PD39;PD39 - Av. Quilín / Av. Pedro De Valdivia;-33.48553714;-70.60610419
PD40;PD40 - Los Plátanos / Av. Pedro De Valdivia;-33.48227503;-70.60598
PD41;PD41 - Los Olmos / Av. Pedro De Valdivia;-33.4794081;-70.60587893
PD42;PD42 - Los Espinos / Av. Pedro De Valdivia;-33.47718595;-70.60580485
PD43;PD43 - Rodrigo De Araya / Av. Pedro De Valdivia;-33.47436003;-70.606245
PD44;PD44 - Velódromo;-33.47054902;-70.606466
PD45;PD45 - Liceo Pedro De Valdivia;-33.46888402;-70.60656
PD46;PD46 - Liceo Diego Portales;-33.46420502;-70.606448
PD47;PD47 - Parada 8 / Estadio Nacional;-33.46255302;-70.606123
PD48;PD48 - Castillo Velasco / Av. Pedro De Valdivia;-33.45840009;-70.60551172
PD49;PD49 - Av. Irarrázaval / Av. Pedro De Valdivia;-33.45457089;-70.60488676
PD50;PD50 - Simón Bolívar / Av. Pedro De Valdivia;-33.45061304;-70.605188
PD51;PD51 - Av. Sucre / Av. Pedro De Valdivia;-33.44892804;-70.605472
PD52;PD52 - Pedro L. Ferrer / Av. Pedro De Valdivia;-33.44560369;-70.6060509
PC12;PC12 - The Kent School;-33.44328202;-70.606419
PC13;PC13 - Bustos / Av. Pedro De Valdivia;-33.44042834;-70.60691834
PC14;PC14 - Parada 4 / Plaza Pedro De Valdivia;-33.43788301;-70.607478
PC15;PC15 - Av. Pocuro / Av. Pedro De Valdivia;-33.43634;-70.60791
PC16;PC16 - Biarritz / Av. Pedro De Valdivia;-33.43385099;-70.608648
PC17;PC17 - Parada 2 / Muni. Providencia;-33.43163998;-70.609308
PC18;PC18 - Ucinf;-33.42889996;-70.610242
PC19;PC19 - Instituto Luis Campino;-33.42695495;-70.610988
